nombre,iniciales_equipo,edad,altura_cm,peso_kg,pais,part_jug,pts,reb,ast,blk,stl,pct_tiro,temporada
Georges Niang,UTA,26.0,200.66,104.32616,USA,57,5.8,1.9,0.6,0.0,0.0,0.615,2019-20
George Hill,MIL,33.0,190.5,85.275296,USA,51,9.7,3.0,2.9,0.0,0.0,0.675,2019-20
Gary Trent Jr.,POR,21.0,195.58,94.800728,USA,52,7.8,1.7,0.9,0.0,0.0,0.563,2019-20
Gary Payton II,WAS,27.0,190.5,88.45044,USA,27,4.2,2.9,1.7,0.0,0.0,0.473,2019-20
Gary Harris,DEN,25.0,193.04,95.25431999999999,USA,54,10.3,2.9,2.1,0.0,2.0,0.513,2019-20
Garrett Temple,BKN,33.0,195.58,88.45044,USA,55,10.3,3.5,2.6,0.0,0.0,0.507,2019-20
Garrison Mathews,WAS,23.0,195.58,97.52228,USA,16,5.8,1.4,0.6,0.0,0.0,0.726,2019-20
Giannis Antetokounmpo,MIL,25.0,210.82,109.76926399999999,Greece,57,29.6,13.7,5.8,0.0,0.0,0.608,2019-20
Gabe Vincent,MIA,23.0,190.5,90.7184,USA,5,2.4,0.6,0.6,0.0,0.0,0.316,2019-20
Furkan Korkmaz,PHI,22.0,200.66,91.625584,Turkey,63,9.6,2.3,1.1,0.0,0.0,0.565,2019-20
Fred VanVleet,TOR,26.0,185.42,89.357624,USA,48,17.6,3.8,6.6,0.0,0.0,0.546,2019-20
Gary Clark,ORL,25.0,198.12,102.0582,USA,33,3.4,2.4,0.4,0.0,0.0,0.5489999999999999,2019-20
Glenn Robinson III,PHI,26.0,198.12,100.697424,USA,59,12.0,4.4,1.6,0.0,0.0,0.5770000000000001,2019-20
Gordon Hayward,BOS,29.0,200.66,102.0582,USA,43,16.9,6.5,4.1,0.0,0.0,0.5920000000000001,2019-20
Goran Dragic,MIA,33.0,190.5,86.18248,Slovenia,52,16.4,3.0,5.1,0.0,0.0,0.578,2019-20
Frank Ntilikina,NYK,21.0,193.04,90.7184,France,54,6.0,2.1,2.9,0.0,0.0,0.491,2019-20
Gorgui Dieng,MEM,30.0,208.28,114.305184,Senegal,57,7.4,5.8,1.2,0.0,0.0,0.562,2019-20
Grant Williams,BOS,21.0,198.12,107.047712,USA,60,3.6,2.7,1.0,0.0,0.0,0.511,2019-20
Grayson Allen,MEM,24.0,193.04,89.811216,USA,30,7.4,2.2,1.4,0.0,0.0,0.5770000000000001,2019-20
Hamidou Diallo,OKC,21.0,195.58,91.625584,USA,37,6.2,3.3,0.6,0.0,1.0,0.486,2019-20
Harrison Barnes,SAC,27.0,203.2,102.0582,USA,63,14.8,4.8,2.4,0.0,0.0,0.5770000000000001,2019-20
Harry Giles III,SAC,21.0,210.82,108.86208,USA,37,7.1,4.2,1.3,0.0,0.0,0.59,2019-20
Hassan Whiteside,POR,30.0,213.36,120.20188,USA,60,16.3,14.3,1.2,2.0,0.0,0.6409999999999999,2019-20
Henry Ellenson,BKN,23.0,208.28,108.86208,USA,5,0.4,1.2,0.2,0.0,0.0,0.14300000000000002,2019-20
Ian Mahinmi,WAS,33.0,210.82,118.841104,France,38,7.4,5.7,1.3,0.0,0.0,0.545,2019-20
Ignas Brazdeikis,NYK,21.0,198.12,100.243832,Lithuania,9,1.9,0.6,0.4,0.0,0.0,0.35100000000000003,2019-20
Iman Shumpert,BKN,29.0,195.58,96.161504,USA,13,4.2,2.6,0.9,0.0,0.0,0.403,2019-20
Goga Bitadze,IND,20.0,210.82,113.398,Georgia,48,3.2,2.0,0.4,0.0,0.0,0.53,2019-20
Frank Mason,MIL,25.0,180.34,86.18248,USA,5,1.0,0.8,1.2,0.0,0.0,0.285,2019-20
Evan Fournier,ORL,27.0,200.66,92.98636,France,61,18.8,2.6,3.2,0.0,0.0,0.599,2019-20
Frank Jackson,NOP,21.0,190.5,92.98636,USA,50,5.6,1.4,0.8,0.0,0.0,0.505,2019-20
Donovan Mitchell,UTA,23.0,185.42,97.52228,USA,62,24.4,4.4,4.2,0.0,1.0,0.562,2019-20
Donta Hall,DET,22.0,205.74,103.872568,USA,3,1.7,3.7,0.7,0.0,0.0,0.434,2019-20
Donte DiVincenzo,MIL,23.0,193.04,92.079176,USA,58,9.3,4.9,2.3,0.0,0.0,0.5660000000000001,2019-20
Dorian Finney-Smith,DAL,26.0,200.66,99.79024,USA,63,9.2,5.5,1.5,0.0,0.0,0.594,2019-20
Doug McDermott,IND,28.0,200.66,102.0582,USA,62,10.4,2.5,1.1,0.0,0.0,0.626,2019-20
Dragan Bender,GSW,22.0,213.36,112.944408,Croatia,15,5.6,4.4,1.7,0.0,0.0,0.5,2019-20
Draymond Green,GSW,30.0,198.12,104.32616,USA,43,8.0,6.2,6.2,0.0,0.0,0.489,2019-20
Drew Eubanks,SAS,23.0,205.74,111.13004,USA,12,3.8,2.3,0.2,0.0,0.0,0.805,2019-20
Duncan Robinson,MIA,25.0,200.66,97.52228,USA,63,13.1,3.2,1.4,0.0,0.0,0.679,2019-20
Dusty Hannahs,MEM,26.0,190.5,95.25431999999999,USA,2,6.0,0.5,0.0,0.0,0.0,0.607,2019-20
Dwayne Bacon,CHA,24.0,198.12,100.243832,USA,39,5.7,2.6,1.3,0.0,0.0,0.419,2019-20
Dwight Howard,LAL,34.0,208.28,120.20188,USA,61,7.7,7.5,0.7,1.0,0.0,0.698,2019-20
